1155,announcement,new book, fridman,maikau,50,,
96,definition,clean," Hess, Zachary","Chs, Louis; Kipo",116,,
692,announcement,chat room, mausi,-,21,,
54,vignette,my everything,-,-,4,"sitelen pona, no clear",
82,vignette,nothing happened,-,-,111,,
83,translation,B Gen 11;1-9,-,-,244,Babel,
84,translation ,sp Mario Savio,-,-,98,,
85,instrution,odd sentences,-,-,103,,
103,chat,door of love,-,-,14,,
104,chat,mi pilin moli,-,-,8,,
162,vignette,sex talk,-,-,48,,
168,translation,epic gilgamesh & humpapa,-,-,2859,,
179,intro,archetype,-,-,317,,
201,chat,prayer,-,"Harness, John",65,Canadian Indigenous Script,
205,Translation,B Rev 1:1-6,-,-,240,,
206,translation,lyrics Perhaps,-,-,133,,
210,translation,prayer,-,-,125,,
211,translation,doxology,-,-,32,,
216,chat,speak tp,-,-,9,,
245,question,word e.t.,-,"sewe, Sasser, Johnathan",24,,
252,fairy tale,goldilocks,-,-,846,,
260,maxim,thought kills talk,-,"sewe, pilo, Zonzeani, Paco",37,,
261,maxim,love is strong,-,sewe,23,sp,
288,Fairy Tale,Hansel and Gretel,-,,1054,,
305,maxim,quotes,-,-,66,,
321,annoncement,rules of tpty ,-,-,53,,
323,translation,lyrics Here comes a thought,-,-,331,,
324,meme,kulupu,-,flear,24,,
332a,vignette,tenasi,-,-,233,,
333,translation,B GEN29:15-28,-,-,366,Jacob & Laban,
335,announceent ,game,-,-,40,,
338,joke,moku,-,campbell,13,,
345,meme,ken ala,-,"Korti, Veej",27,LoTr or GoT,
362,chat ,Lojbanist,-,-,34,*,
390,translation,poem Cantada,-,-,85,"Calcanhotto, Adriana",
420,greeting,jan sin,-,-,15,*,
426,tale,Piluje blue bug,-,-,1086,*,
430,chat,"why""",-,-,30,,
431,chat ,"Kent, etc.",-,-,614,,
432,chat,wann talk,-,-,32,,
433,chat ,work day,-,-,32,,
435,chat,Argentine etc,-,-,190,,
436,discussion,existence is bad,-,-,381,,
437,discussion,god exists?,-,-,338,,
438,discussion,god exists?,-,-,344,,
439,chat,who's there,-,-,10,,
440,chat,tp etc.,-,-,357,,
441,announcement,server rules,-,-,76,,
466,chat,tp over eo,-,-,22,,
492,vignette,Always tru,-,-,264,,
493,vignette,arrest,-,-,155,,
425,fairy tale,sintelela,-,-,,,
501,announcement,delay,-,-,38,,
515,poetry,song Dirty,-,-,98,,
517,fun,start game,-,-,77,,
537,tale,rounds,-,-,56,,
548,announce,story Sawe,-,-,88,mali?,
576,vignette,toilet training,-,-,298,*,
595,tale,tili 1,-,-,394,,
667,chat,news of the world,-,-,358,,
671,question,puzzling sentences,-,-,64,,
729,poetry,sone Love me,-,-,71,,
731,poetry,song crash death,-,-,36,,
799,education,illustrative sentences,-,-,592,,
800,vignette,meeting,-,-,109,,
976,chat,Gatsby,-,-,5,,
1072,chat,miscellany,-,-,1424,sp,
1083,announcement,forums don,-,-,55,,
1234,translation,warrioe prayer,-,-,70,,
1236,cartoon,robots,-,-,69,,
1248,tale,bad snake,-,-,305,,
1262,translation,"sonnet, spenser",-,-,82,,
1268,maxim, 4 truths,-,-,75,,
1328,vignette,"volapu""k",-,-,228,,
1331,translation,poem little bird,-,-,125,,
17,trad wishes,new years,- ,-,60,,
337,chat,sunset,- ,"sewe, sala",44,,
30,translation,song Man in a Queue ,? Kisina Ponko?,Pilo,116,,
1012,wile sona,A'lvaro,"A'lvro, jose'",kipo,16,,
625,announcement,tp telegram,aaral,-,222,,
372,meme,toki ike,abdo,"kipo, wesman, ddii, jbs",94,,
194,question,wor din two days,"Abdo, Abraham","jbs, wiki",56,,
334,meme,GoT Not speak,"Abdo, Abraham",-,15,,
640,chat,why tp,aethercrx,jan-david,23,,
475,chat,"what, where",aetherstar,nowa,192,,
1073,chat,tp computer book,agorism,"mali, [deleted]",160,,
329,intro,Velasquez,"Aguilar, Jonathan Edwardo Vela'squez","musial, kipo, Kama,Chase  Brown; sewe",51,*,
