number,type,topic,author,commentator,word count,comments,
1,status,2 books,"Morante, Kiah",-,50,,
2,intro,2 languages,Wilo,-,43,,
3,announcement,talk on tp,chuff,algorism,51,,
4,status,"invitation, encouragement",Sotan,Elena Khusanova,161,Zoltan Garza,
5,status,tale,"Ahmad, Samuel","Hyatt, James; Kipo",82,,
6,intro,pen pal request,Pansiko,-,127,Francisco Fuentes,
7,welcome,-,Kipo,-,5,John E. Clifford,
8,wile sona,-,"Cools, Brian","Kotwica, Wojcech",11,,
9,whence? ,-,"Musial/, Mikol/aj",Kipo,11,,
10,status,4 hour learning,"Kristen, Alicia, ","Tikhanov, Aleksey",19,,
11,meme,good food,"Mu""ller, Andre","Pelletier, Francis",41,,
12,intro,-,Kutawo,Pije,49,"Gouveia, Gustavo","Knight, B. J."
13,proposal,flag for tp,Flaming Obsidian,TepanNetaPelin; Kipo,182,"Schneider, Stephen",
14,translation ,B Ps 51:1-12,Pilo,-,253,"Mittelstadt, Piotr",
15,meme,unpa Loompa,"William, Henry","Minns, Anthony; Smith, Cody",59,,
16,chat,zebras,"Muial/, Mikol/aj","Ganachaud, Serge",18,,
17,trad wishes,new years,- ,-,60,,
18,announcement,tp taso site,"Gorza, Zoltan","Sienna,Yonah",244,,
19,meme,"balloon, vac","Tikhanov, Aleksey","Musial/, Mikol/aj; Tikhnov, Sergey; Elliott, Marie; Ganachaud, Serge",132,,
20,news,Haiti disaster,"Fuentes, Francisco","Flear, ames",104,,
21,wile sona,-,"Madrigal, Nelso Perez","Clifford, John; Ganachaud, Serge",40,,
22,vignette,critters in house,"Koory, Michael",,50,,
23,vignette,learning to drive,"Hansberry, Christa","Campbell, Anne; Birns-Sprague, Joshua; Ganachaud, Serge, DiMercurio, Dominick II",121,,
24,vignette,love,"Madrigal, Nelson Perez","Mittelstadt, Piotr",71,,
25,vignette,monster,"Flear, James",-,46,,
26,question,"animal names, sounds, fb translate","William, Henry","DiMercurio, Dominick II; Brown, Sarah;, Gorza, Zoltan;, Howlett, Chris; ",456,,
27,fun,tongue twister,"Flear, James","DiMercurio, Dominick II, Brown, Sarah",71,,
28,fun,movie game,"Andree, Devan","Gorza, Zoltan; Birns-Sprague, Joahua; Kramer, Nicole",311,,
29,fun,tongue twister,"Flear, James","William, Henry; Gorza, Zoltan",171,,
30,translation,song Man in a Queue ,? Kisina Ponko?,Pilo,116,,
31,words mathematical,pi,"Steenblick, Rick",-,25,,
32,vignette,"pinapple maze, power","Taylor, Geoffrey Be.","Ganachud, Serge; Steenblick, Rick",103,,
