701,chat,start WhatsApp,ward-lee,morelli,33,
702,chat,tp as private lang,kipo,chs,46,
703,chat,memrise,"brough,adam",-,21,
704,chat,starting tpt,kipo,"hansberry, sewe",58,
705,chat,tpt signup,jona,"ddii,campbell, kipo, hyett, stutz, hansberry",486,
706,chat,inli' in sp,ddii,"sotan, kipo, mali, hansberry, tikhonov, Schmidt, Samuel",224,
707,chat ,tp in hospital,"campbell, ","Keita, Soundjat, Rtiht, Vinski",31,
708,chat,telegram,"Portela, Rodrigo","kipo, ",96,
709,chat ,toki ,andree,"sotan, pilo, kipo,hansberry",240,
710,chat,available writings,kiah,"moeira, kipo, mali",142,
711,discussion,why tp difficult,jbs,hansberry,118,
712,chat,teaching aid,"tibbetts, jon","Silvestre, Justin",60,
713,chat,joy of learning,"Madrigal, NelsonPerez","kipo, sew",40,
714,chat,healthy tp,jsb,kipo,88,
715,chat,languages,"thomas, stuart","engelhardt, pilo,kipo, brindle, sala",172,
716,chat,lojban lost,kipo,hansberry,55,
717,chat ,teaching tp,moreira,kipo,140,
718,chat,how find tp,wiki,"taylor, puddu, sala, wegesin, sewe",369,
719,chat,tp is good for you,sewe,"niko, hansberry",222,
720,chat,pu jokes,"Coffey, Nathan","eads, campbell, jbs",38,
721,welcome,Fre'deric,Hauguel,ddii,34,
722,welcome -,-,kip,-,13,
723,chat,tp sites,ddii,-,34,
724,discussion,sonja & fighting,ordare,sewe,244,
725,discussion,anakapa,kipo,"hess, jbs, engelhardt",168,
726,meme,tp & else,ordare,r-d,30,
727,chat,stages of tp,r-d,ordare,190,
728,chat,sone Sunshine,hansberry,"pendragonne, erixon",34,
729,poetry,sone Love me,-,-,71,
730,announcement,music,sotan,-,68,
731,poetry,song crash death,-,-,36,
732,poetry,song Mama don't like,miles,flear,219,
733,maxim,time death,sotan,-,7,
734,fun,game jan anpa,ddii,"mali, jbs, Morell-Fourier, Ke'vin, kipo, Dupelev, Vladimir",168,
735,poetry,Montale,jbs,"Bonviro,S^ino Mejo; kipo",208,
736,poetry,song mu,tikhonov,-,55,
737,poetry,songs olin ali,sotan,tihonov,450,
738,poetry,2 songs,"cedric, Polina",kipo,287,sp
739,poetry,song poker,sotan,-,42,
740,translation,song from Mulan,same,-,331,
741,lesson, make tp name,kipo,-,684,
742,discussion ,"names, facebook and words",sewe,"zouzalik, kipo,jsb, jona, pilo",601,
743,discussion,word Pooh,pilo,"ddii, waldron,",160,
744,discussion,name of tpt,ddii,"jona, campbell, Kraticevic,Ivan; mali, sewe maow",378,
745,announcement,chess group,joop,mali,51,
746,question,tp in DC,"Evans, Michael",-,15,
747,question,big numbers,wiki,engelhardt,120,
748,announcement,big nmbers,wiki,-,22,
749,announcement,clock numerals,tikhonov,"brindle, moreira, kipo",128,
750,criticism,luka seven,toto`980,"ozefroze, soweligap11",95,
751,poetry,pusa forgotten,pusa,-,699,
752,poetry,2 poems,wiki,-,81,
753,status,body parts,tihonov,-,14,
754,poetry,lizar,"DeWitt, Bill",-,33,
755,maxim,cean,taylor,-,19,
756,question,where contest,mali,sewe,122,
757,poetry,poem night walk,niko,"puddu, hansberry, sewe moreira",147,
758,poetry,song mi moku,flear,"kipo, wiki",110,
759,poetry,3 haiku,"moss, erin",kipo,33,
760,poetry,poem water,miles,-,20,
761,poetry,poem mi awen ala,sala,"Guimara""es",97,
762,discussion,feelings,jbs,-,113,
763,poetry,poem all my words,enwijan,-,431,
764,poetry,ddjish,jbs,-,84,sp
765,translation ,poem by Mistral,fuentes,-,64,
766,translation,limericks,"Hess, jbs",-,45,
767,poetr,poem mi pu,sasser,"jona, kipo",272,
768,poetry,poem my sleep song,"Vebek, Artem; Trzemecki, Gleb;",musial,53,
769,poetry,poem long ago,puddu,"sewe, jbs",144,
770,discussion,corections,jona,"sewe, anjo, kipo, mali, hrafn, ddii, pilo",1195,
771,poetry,poem o open lon pini,jbs,sewe,85,
772,vignette,breakfast,jbs,"mali, kipo, sewe",166,
773,poetry,p0ems,tihonov,"kipo, pilo",65,
774,poetry,poem color hair,Tihonov,"mali, Chernysheva, Vlada",197,
775,poetry,limerick,kipo,-,112,
776,announcement,sotan site,sotan,-,59,
777,announcement,sotan site,sotan,-,77,
778,poetry,song little night music,sotan,-,190,
779,poetry,song meli mi,sotan,-,195,
780,poetry,song not everything,sotan,-,235,
781,poetry,song little night music,sotan,-,527,
782,poetry ,song Poke,sotan,-,336,
783,poetry,linear poems,mali,-,48,
785,poetry,"poems, haiku",pusa,-,157,
786,vignette,garden,dave,-,,not finished
787,maxim,nothing,jbs,mali,145,
784,poetry,poem  pakala pimeja,Kesisi,"Trzemecki, Gleb; Brough, Adam; Torres de la Cruz, Johnatan Jose'",128,
788,poetry,hymn,sotan,-,125,
789,poetry,poem someon like you,pusa,-,107,
790,poetry,poem seli suli,Wegesin,"kipo, Schmidt, Samuel",74,
791,poetry,athem,Waldron,kip,364,
792,poetry,prayer,miles,-,92,
793,poetry,song ma ike,"Zadworny, Piotrek",mali,71,
794,poetry,poem morning,hansberry,"kipo, becan",87,
795,poetry,poemhappy tree,ward-lee,-,24,
796,inro,Riccardo,"Genova, ricky","enwijan, Destree,Jean-luc; pusa",224,
797,chat,"ali/e, etc.",soweliPeka,"kipo,Loliko,",846,
798,chat,etc,sweliPeka,kipo,296,
799,education,illustrative sentences,-,-,592,
800,vignette,meeting,-,-,109,
