[deleted],"1071, 1073",,
{squiggle},"486, 885,  ",??? ????-,
"Adamson, Charles","559, 971",,
"Adamsson, Y S","1030, 1051, 1070, 1077, 1078, 1079, 1080, 1237, 1268, ",,
aean,"472, ",,
akesi_ante_kule,"1142,1143, 1145",,
algorism,3,,
"Alvarado, Eduardo","1015, ",,
Ames,"20, ",,
Anaya,"813, 814, ",,
"Andree, Devan","49, 564",,
Andrxej5335,1174,,
anonymous,"502, 1056, 1096, 1104, 1115, 1120, 1121, 1135, 1136,1141, 1142, 1158, 1164,1171, 1178, 1191, 1218,1228  ",,
ante,"180, 500, 1096,  ",,
ariodante(ITA),"1232, 1244",,
arono,"1159, 1174, 1188, , ",,
astronavigator,"1087, ",,
ato.wiki,450,,
autonuke,"1183, ",,
"Baldwin, Joshua","1244, ",,
balsong,"516, 862, 1030, 1040, 1041, 1051, 1070, 1245",,
bara,"1164, ",,
"Baruj, Michelle Susi Kuld","937, ",,
"Baumruk, Spencer",991,,
"Bayaz, Bugra","173, ",,
Becan,"794, 971",,
"Belanyek, Agneau","50, 102, 565, 770",,
"Bell, Niko","93, 140, 226, 240, 347, 352, 377, 479, 484, 545k, 662, 719, 831, 954, 956, 1107, 1109, 1115, 1228",,
Birns-Sprague,"5b, 16, 23, 28, 38, 59, 61, 65, 69, 70, 79, 111, 124, 152, 166, 167, 193, 194, 204, 219, 220, 221, 231, 236, 238, 239, 249, 256, 275, 276, 277a, 283, 294, 311,338, 339, 349, 355, 358, 361, 372, 374, 379, 380, 388, 403, 412, 457, 459, 460, 467, 485, 486, 487, 553, 564, 565, 569, 582,  586, 652, 655, 678, 679, 683, 689, 691, 720, 725, 734, 742, 769, 824, 834, 841, 845i, 850, 857, 864, 866, 874, 881, 887, 888, 893, 896,898, 902, 903, 907, 913, 916, 971, 973",,
blacke chan,507,,
blahma,"1174, 1176, 1177 ",,
boets,"1097, ",,
"Bonviro, Sino Mejo","735, ",,
"Bradley, Melissa",812,,
"Brindle, Jack","715, 749, 869",,
"Brough, Adam",784,,
"Brown, chase","329, 343a, 373, 422,",,
"Brown, Sarah","26, 27, 71, 75, 102, 111, 126, 127,157, 191, 199, 209, 213, 217, 225, 236, 249, 270, 271, 275, 294, 296, 299,  303, 316, 337,  353, 358, 371, 380, 382, 403, 412, 579, 582, 586, 610, 655, 690, 715, 718, 834, 836, 837, 845i, 851, 854, 856, 859, 863, 868, 868, 869, 873, 1316",,
"Calanza Bell, Kevin Scott, Kateri",495,,
"Calev, Kobi Kai","579, 608,609, 861 ",,
Campbell,"23, 43, 68, 100, 111, 125, 128, 167, 192, 214, 223, 225, 227, 231, 241, 275, 282, 290. 306, 338, 339, 343a, 355, 395, 405a, 545, 546, 553, 554, 559, 561, 564, 566, 569, 570, 572, 575, 579, 585, 589, 644, 656, 657, 663, 673, 676, 678, 682, 684, 686, 690, 705, 720, 744, 827, 831, 842, 843, 850, 854, 870, 871, 879, 883, 887, 889, 892, 896, 905, 912, 923, 927, 937, 947, 950, 954, 987, 1042, 1258, 1266, 1298, 1316",,
Carabajales,1003,,
"Carlson, Bryce Leland","182, ",,
Carrasco,"213, ",,
"Casas, Bryan",,,
"Castelbou, Sebastian","582, 818, 845i",,
"Chaves, Hector","290, 377, ",,
christ627,519,,
"Chs, Louis","96, 552, 631, 702,1001, ",,
Clifford,"5, 5b, 9, 13, 16, 21, 35, 36, 38, 43, 46, 56, 62, 81, 92, 95, 96, 98, 99, 100, 109, 111, 113, 125, 126, 131, 133, 135, 137, 149, 150, 151, 152, 159, 163, 169, 171, 174,175, 177, 180, 181, 208, 218, 219, 221, 226, 230, 234, 237, 238, 240, 245c, 248, 250, 255,  264, 277a, 278a, 280, 284, 292, 293, 296, 301, 309, 314, 326, 327, 329,  343, 343a, 347, 352, 354,  361, 372, 388, 434, 442, 452, 453, 454, 462, 465, 468, 472a, 481, 482, 484,499, 500, 511, 522, 526, 531, 534, 539, 542, 543, 545, 546, 551, 552, 553, 555, 556, 559, 560, 561, 563, 565, 568, 569, 570, 571, 572, 573, 574, 575, 579, 580, 582, 593, 598, 606, 609, 610, 613, 615, 616, 618, 619, 621, 631, 638, 641, 643, 650, 652, 659, 661, 663, 673, 676, 678, 679, 680, 681, 682, 683, 686, 697, 698, 700, 705, 706, 708, 709, 710, 713, 714, 715, 717, 734, 735, 738, 742, 749, 758, 767, 770,  772, 773,790,  791, 794, 796, 797, 801,  804, 808. 809, 810, 811, 813, 814, 815, 817, 819, 821, 828, 835, 843, 845g, 845h, 845i,  845k, 851, 854, 857,  858, 859, 861, 865, 866, 868, 869, 870, 872, 874, 881, 882, 887, 888, 889, 892, 893, 896, 897, 900, 902, 907, 908, 911, 912, 913, 914, 915, 916, 918, 919, 920, 924, 925, 932, 935, 937, 940, 943, 944, 945, 948, 950, 951, 952, 954, 956, 957, 961, 967, 971, 980, 984, 987, 988, 989, 991, 994, 998, 1000, 1004, 1005, 1007, 1009, 1012, 1013, 1017, 1019, 1021, 1022, 1023, 1024, 1027, 1033, 1038,1039, 1047, 1062, 1096, 1183, 1184, 1192, 1195,  1197, 1198, 1230, 1249, 1251, 1253, 1259, 1285, 1288, 1297, 1298, 1299, 1300, 1302, 1304,1311, 1312, 1322,",,
"Coffey, Nathan","1062, ",,
conlinguist linguistics,"249, 256",,
contrum," 468, 1245",,
"cools, Brian"," 193, 380, 673, 686, 971",,
"Crespin, Matteo","1000, ",,
"Crom, James","278, ",,
"Cruz, Gabriel, edilberto",1042,,
cxielamiko,"101, 114,1118, 1126, 1144, 1148, 1149, 1166, 1228 ",,
daraffa,823,,
Darfeld,"478, ",,
"Davies, Bob","876, ",,
"del Rio, Juan Garcia","102, ",,
"Destree, Jean-Luc","796, ",,
Deuston,520,,
"deVilliers, Gilles","570, 682, 887",,
"Dias, Shylton",1042,,
"DiMercurio, Dominick II","23, 26, 27, 33, 43, 93, 100, 105, 111, 149, 163, 232, 250, 265, 275, 276, 283, 284, 294, 296, 308, 326, 327, 347, 352, 369, 372, 377, 396, 405, 453, 469, 470, 569, 603, 626, 644, 648, 655, 690, 668, 674, 678, 705, 721, 743, 770, 814, 835, 865, 888, 898, 937, 954, 963",,
Doggaz,"60, 458, ",,
dommitor,"89, 91",,
dresdom,"1066, ",,
"Dupelev, Vladimir",734,,
Eads Andrew,"49, 123, 129, 167, 215, 219, 236, 249, 269, 275, 294, 371, 379, 383, 720, 802",,
Ejewa,485,,
"Elbo, Max","1243, ",,
Elliott,"5b, 19, 33, 41, 44, 65, 71, 74, 88, 91, 110, 113, 119, 129, 136, 157, 161, 174, 175, 176, 178, 180, 181, 182, 202, 209, 327, 472, 507, 518, 521, 527, 547, 556, 568,  573,  579, 601, 608, 609, 613, 618, 621, 623, 657, 679, 681, 690, 706, 710, 734, 744, 745, 770, 772, 774, 787, 793,  843, 846, 852, 867, 874, 881, 887, 892, 893, 913, 917, 921, 925, 928, 932, 933, 940, 958, 967, 971, 991, 996, 997, 1042, 1047, 1065, 1073, 1075, 1079, 1201, 1298, 1316 ",,
"Engelhardt, Gary Joseph","35, 88, 94, 100, 107, 124, 126, 134, 169, 553, 560, 561, 569, 571, 590, 655, 715, 725, 747, 845h, 846, 857, 858, 870, 887, 888, 898, 940, 957",,
"Erixon, Gabriel","524, 728, 811, 812",,
"Esperanto, Genhul",534,,
fearofthemonster,507,,
"Federova, Anna",608,,
firstname second name,1244,,
"Flear, James","20, 43, 44, 46, 47, 324,372, 377, 642, 666, 669, 1204, 1261 ",,
"Fridman, Michael","1102, 1103, 1108, 1117, 1121, 1124,1139, 1141, 1142, 1146,1151, 1228  ",,
fritzvd,"527, ",,
"Fuentes, Francisco","472,  474, 516, 862, 877, 919",,
fusiongyro,"1127, ",,
"Futrelle, Joe","536, 539, 700 ",,
Ganachaud,"16, 19, 21, 23, 32, 33, 34, 35, 37, 40, 44, 55, 63, 73, 75, 81, 95, 101, 111, 114, 117, 124, 131, 137, 149, 152, 164, 191, 192, 200, 208, 213, 215, 223, 226, 231, 234, 235, 237, 241, 244, 245, 245c,  247, 255, 256,257, 258, 259, 260, 261, 262, 269, 270, 271, 275, 276, 280, 287, 290, 292, 294, 302,329, 331, 337,  338, 347, 351, 357, 359, 470, 499, 503, 547, 551, 552, 553, 554, 556, 557, 560, 561, 562, 564, 565, 582, 585, 586, 604, 605, 624, 629, 638, 639, 652, 655, 657, 661, 689, 690, 693, 704, 713,  718, 724, 744, 756, 757, 769, 770, 771, 772, 826, 829, 830, 831, 833, 834, 836, 837,841, 842,  843, 844, 845i, 870, 877, 881, 886, 897, 906, 907, 912, 913, 917, 918, 919, 921, 923, 924, 925, 927, 928, 929, 932, 934, 936, 939, 944, 966, 968, 1019,  1084, 1093, 1095, 1097, 1098, 1102, 1105, 1110, 1111, 1115, 1116, 1118, 1124, 1126, 1127, 1128, 1129, 1135, 1133, 1134, 1136, 1137, 1138, 1140, 1145, 1147, 1149, 1151, 1152, 1153, 1156, 1159, 1163, 1191, 1192, 1199, 1220, 1223,  1225, 1228, 1229, 1230, 1302, ",,
"Gardian, Uriel", ,,
glottal-stop,"91,1070, ",,
"Gorza, Zoltan","26, 28, 29, 36, 73, 102, 123, 135, 247, 262, 266, 487, 523, 589, 652, 656, 706, 709, 835, 870, 875, 921, 937, 943, 964, 971, 1027 ",,
goulo,"1140, 1162",,
"Guimaraes, Matheus","682, 761, ",,
"Gusova, Masha",1197,,
gustaf_mc,1180,,
"Hale, Serin","673, 686, ",,
