201,chat,prayer,-,"Harness, John",65,Canadian Indigenous Script,
202,chat,review Alien Covenant,"Resmer, Matt",mali,280,,
203,translation,song Joshua fit,"Miles,Marcus",-,24,,
204,chat,question,"Carraasco, Daniel Diaz",jbs,68,incomlete,
205,Translation,B Rev 1:1-6,-,-,240,,
206,translation,lyrics Perhaps,-,-,133,,
207,chat ,Cake band,jbs,-,17,,
208,chat,badly drawn boy,jbs,"sewe, pilo, kipo, Miles, marcus",85,,
209,discussion,tattoo,taylor,"mali, San Nicolas, Angel Rios; van Hausen, Lynn; wiki, sala, Flear, Rosen, Simon",329,,
210,translation,prayer,-,-,125,,
211,translation,doxology,-,-,32,,
212,translation,poem kama sona open mi,jbs,-,137,Walt Whitman,not finished
213,intro,Dwight,"Jenkins, Dwight","jona, sewe, sala, Carrasco",75,,
214,vignette,owls,sala,"campbell, resmer,carrasco",58,not finished,
215,chat,teaching tp,"Zadworny, Piotrek","sewe, eads, pilo, musial",127,,
216,chat,speak tp,-,-,9,,
217,chat,jan pona,peridot XH,sala,8,,
218,chat,mi olin,peridot XH,"musial, kipo",103,,
219,chat,mi toki jan,peridot,"jbs, eads, kipo",35,,
220,fairy tale,goldilocks ,"Vincens, Cindy",jbs,587,,
221,vignette,Namane,peridot,"morelli, kipo, jbs",133,,
222,announcement,tenlan,ddii,"Hughes, Dylan, Resmer, perdot",30,,
223,vignette,cake concert,jbs,"sewe, campbell",221,,
224,trnslation,DDJ 36,"taylor, ",wiki,84,not finished,ss
225,chat,ma tp,jona,"campbell, sala",76,,
226,question,plural,"Gill, Rob","sewe, niko, kipo",76,,
227,intro,tenilusin,"Rudin, Dennis",campbell,19,,
228,chat,response to spam,kipo,mato,43,,
229,chat,Trump,sewe,"Kotwica, Hnasberry, Wiki",135,,
230,chat,Texas,jbs,kipo,39,,
231,question,when use tp,ddii,"Zouzalik, Vaclaw; campell, jsb, Sailer, Manfred, rudin, wiki, kramer, sewe",179,,
232,question,bad word unpo,peridot,ddii,46,,
233,chat,"spring, word use",rudin,wiki,105,,
236,intro,etemun,"Osborne, Edmund","rudin, jona, wiki, Hansberry, sala, eads, jbs",189,,
235,question,firt language,edmund,"sewe, rudin, hansberry, jbs, preidot, Moniz, Ryan",364,,
234,announcement,size of tpt,ddii,"kipo, sewe",68,,
237,translation ,to be or not,resmer,"kipo, sewe",83,work,
238,intro,Gino,"Forma, Gino","kipo, jbs",32,,
239,fairy tale,rainbow,"Gill, Rob","jbs, ",156,,
240,chat,word use,ddii,"pilo, niko, joop, kipo",150,,
241,question,from Italy?,Gino,"sewe, campbell, puddu, moniz``",134,,
242,meme,winter,jsb,-,9,,
243,teaching tp,children,"Kotwica, Misha",sewe,200,,
244,writing,other scripts,ddii,"puddu, sewe hansberry, Silversides, harry",85,"greek,cyrillic",
245,question,word e.t.,-,"sewe, Sasser, Johnathan",24,,
246,maxim,keep correcting,ddii,-,6,,
247,question,word cigarette,lipu musi,"sewe, sotan, sasser",26,,
248,chat,colors of forest,Kosimo,kipo,58,,
249,teaching,"childre, akido",rudin,"jbs, sala, eads, contingent linguistics",174,,
250,maxim,"hurt people, pu",jbs,"moniz, wiki, ddii, kipo",161,,
251,trad,well-wishing,"Martinex, Thairon",-,18,,
252,fairy tale,goldilocks,-,-,846,,
253,vignette,Aiaek,Martinez,-,127,,
254,congrats,size,martinez,-,31,,
255,question,word blind,gino,"sewe, kipo",108,,
256,question,when learn tp,martinez,"sewe, hansberry, Moon,Hutton, rudin, jbs, conilinguist linguistics",366,,
257,news,UK/ EU,jbs,sewe,105,,
258,question,name Night Vale,sala,sewe,42,,
259,joke,kala,sala,sewe,57,,
260,maxim,thought kills talk,-,"sewe, pilo, Zonzeani, Paco",37,,
261,maxim,love is strong,-,sewe,23,sp,
262,qestion,word taw/lon,sala,"marinez, sotan, sewe,",220,,
263,vignette,prof & pet,ddii,-,398,,
264,chat,gibberish,ddii,kipo,33,,
265,maxim, fun is positive,bs,ddii,14,,
266,maxim,knowledge has a hole,ddii,"sotan, pilo",144,polish,
267,translation, Helen167-178,moniz,-,109,Euripides,
268,poetry,cold,"Frazier, Wes",-,25,,
269,vignette,giving blood,niko,"sewe, eads, Leclerq,Jean-Marc",170,,
270,chat,heat,"Hansberry, ","sala, moniz sewe",57,,
271,joke,namako,campbele,"sewe, sala, Zouzalik, Vaclaw",32,,
272,announcement,killing railroads,mato,"Woodman,John",48,,
273,translation,"poetry, At First","Ordare, Ruth",martinez,126,"Walker, Alice",
274,translation,poetry Metaphysics,jbs,-,43,"Ginsberg, Alan",
275,intro,Markus,"Ranki, Markus","jbs, campbell, sala ddii,sewe eads, wiki",119,,
276,intro,leclerq,"Leclerq, Jean-Marc","sewe, ddii, Morel-Forrier,Kevin jbs",73,,
277,question,tp names,ddii,see spreadsheet,450,,
277a,vignette,food pantry,"Miles, Marcus","jbs, Kipo",113,,
278,vignette,oboe,jbs,"Crom, James",87,,
278a,intro,Jon,Jon,kipo,68,,
279,announcement,tp video game,"taylor, ","Parker,Deano; Morgantroth,Severin Yasmine; Smith, Ava",77,,
280,chat,all moon dust,jbs,"sewe, wiki, kipo, Sokolowski",117,,
281,chat,Itanpul,Lope,Nothing I am,63,"Warnke, Robert",
282,intro,GiuianoCarlo,Logos de Sano,Campbell,72,,
283,chat,intelligent life,"Woodman, John","ddii, jbs",140,,
284,question,disambiguate verb slot,Woodman,"ddii, jona, kipo",170,,
285,Cricism,broken link,"Shippey, Sam",-,10,,
286,chat,thanks,wiki,leclerq,32,,
287,translation,poetry Night Vale,sala,sewe,169,,
288,Fairy Tale,Hansel and Gretel,-,,1054,,
289,translation,poetry Wander's song,Jon,-,42,Goethe,
290,chat,can drive,Hansberry,"Campbell, sala, Chevez,Hector; wiki, sewe",88,,
291,vignette,kit & cake,wiki,"puddu, kramer",332,ss,
292,joke,square animals,mato,"kipo, sewe, wiki",62,,
293,vignette,skateboard,"Holm, Magnus","muniz, sasser, wiki, kipo",165,,
294,intro,markus,"jRanki, Markus","jbs, sala, ddii, sewi, eads, wiki",111,,
295,chat,mu,mali,wiki,32,,
296,vignette,flood,engelhardt,"moniz, kipo, morante,ddii, sala, sota, rodriguez-russo, carlos; wiki",237,,
297,question,Discord,ordare,morante,218,,
298,translation,poem I Protest,kaja,-,1368,"Szilagyi, Ferenc",
299,chat ,hawaiian leaves,wiki,sala,22,,
300,vignette,aphrodite,kipo,-,114,,
