101,definition ,word ko,toto1980,"Sewe, toto; cxielamiko; sowelikap11",188,
102,definition ,word kule,Lê Hoàng Kim D??ng,"????? ???; Sotan, Sala, del Rio, Juan Garcia; Ki?u Duyên; Anju; Puddu, Marco",127,
103,chat,door of love,-,-,14,
104,chat,mi pilin moli,-,-,8,
105,question,mi li,"Thomas, Stuart ","ddii; Kahn, Mark; van Hauwe, Lynn; ",205,not finished
106,question,mi li,"Thomas, Stuart",as above,-,a cleaned up version of 105
107,definition,"pona, moku","William, Henry","Hessjan, Zachary; Engelhardt, jooseph Gary",45,
108,definition,word monsiuta,"Waldron, Stephen",-,81,
109,definition,month names,ddii,"Sewe, Kipo, ??????? ???????; Wegesin, Maxime",436,
110,chat,mu,dommitor,"terpomo11; AetherCrux, Nankazz;",-,not finished
111,definition,word mun,"Bell, Niko","ddii, Campbell, Thomas, Stuart; Sala; jbs; Kipo, Pilo; sewe;",916,
110a,,,,,,finished 110
112,chat,jan nanpa wan,"Can, Faith Emre","Tihonov, Sergey",21,
113,ojke,noka,Campbell,"Kipo, Mali, Hansberry",200,
114,definition,word ko,toto1980,"sewe; cxielamiko, sowelikap, ",-,not finished
115,definition,computer,Sokolowski,"Lytle, Steven; pilo",27,
116,translation,April showers,jsb,-,35,
117,maxim,only now,Taylor,Sewe,82,
118,translation,son Big Bang,Taylor,-,105,
119,fun,telephone puzzle,Wiki,Mali,78,not finished
120,announcement,tp page,"Wauquier, Jeremy",-,60,
121,chat,tp,Sonja,-,25,
122,intro,"ni, e","Parker, Deano",-,38,
123,chat,may day,jbs,"Eads, Andrew; Tihonove, Sergey; Sotan",67,sp
124,joke,may day,"kipo, ","Engelhardt, jbs, Powell, Johnathan Alexander; sewe",131,
125,joke,wawa,littel hrafn,"Campbell, kipo",591,
126,definition,word wawa,D??ng,"Engelhrdt, Sala, Kipo",54,
127,joke,wawa coffee,Engelhardt,"Moreira, Sala",78,
128,chat,Islam,"MIles, Marcus",Campbell,57,
129,joke,star wars,kipo,"Eads, Andrew; Mali, Wiki",83,
130,invitation,learn tp,"Davis, Susan, ","Phillips,Naomi; Mato",42,
131,joke,Ottawa,"Hyettt, James","sewe, Kipo",38,
132,chat,sleeping dog,"Futrelle, Joe -",-,16,
133,chat ,movie running man,"Weidman,Greg",Kipo,28,
134,discussion,lws make crimes,ddii,Engelhardt,176,
135,chat,ruined waiter,"Bergstrom, Jenne","Sotan, Kipo",23,
136,vignette,stop me!,"Kipo, ","Mali, Jona, Pilo",,
137,chat ,cookie,"Maow, Panojo; ","Kipo, Rimmel, Phillipe; Sewe",270,
138,discussion, number pi,wiki,-,125,
139,dicussion,word pi,Mato,-,65,
140,discussion,word pilin,Kipo,"Bell, Pilo, Tikhanov",230,
141,,,,,,messed up
142,criticism,word pu,Kipo,-,102,
143,chat,pages,ffuentes,impgristle,210,
144,intro,matt,"Bohnhoff, Matt",- ,21,
145,definition,strange animals,,,,not finished
146,question,compound indirect object,"Davis, Susan","Voight, Helmut",,not finished
147,definition,"cat, dog","Navarrete, Carlos, sotan, Hess,Zachary",,58,
148,maxim,seek the light,"Polcjo, Rejsi",-,22,
149,discussion,change light joke,pilo,"sewe, ddii, kipo",583,
150,"chat, ","rain, hot drinks",Miles,"kipo, Morelli, pilo",347,
151,definition,tenpo mun,Casas,"Soan, kipo, moreira",96,
152,status,off and on,Musial,"Sewe, Kipo, jbis",300,
153,question,tokitoki,Torres de la Cruz,-,26,
154,question,talk about,"Ferrari, Ashley",-,17,
155,question,color color,sproshua,impgristle; soweli,99,
156,definition ,word unpa,anonymous,"oyd11, futubachen",65,
157,announcement,language contest,ddii,"jona, sala, hansberry,mali",219,
158,vignette,use Engish,Morelli,pilo,43,
159,chat,eat fish?,"Lawrence, Kenneth C.",kipo,12,
160,definition,word after,"Nichols, John",-,52,
161,question,moku kili,Bur_Sangiun,AetherCrux,9,
162,vignette,sex talk,-,-,48,
163,writing ,Bulgarian,"Hess, Zachary","Thomas, Stuart; ddii, kipo",32,
164,maxim,only now,Taylor,sewe,143,
165,vignette,ice cream,sewe,,60,
166,chat,good people,Sokolowsky,jbs,59,
167,status,what do,"Parker, Deano","jbs; Campbell; Howlett, Eads; Kra""mer, Nicole",172,
168,translation,epic gilgamesh & humpapa,-,-,2859,
170,vignette,cloak of sunbeams,mali,-,326,
169,translation,B Matt: 5-7,Pije,"pilo, mali, kipo",2697,Sermon on the Mount
171,translation,haiku anthology,"Basho, Josha, Isha, Jarranz, Amparo; julius, jan-ante, Kulisa, Mali, Pilo, Hansberry, Kipo, Schinella, Eleonora; Coronado, Peter; Josuwa","lie hap po; jan-ante, kipo, lxrfury, Julius, kipo, ",981,
172,poetry,jan Pusa,pusa,-,386,
173,fairy tale,Beaauty and the beast,kipo,"Bug^ra Bayaz; Nichols, John; Morelli, Pilo",482,
174,translation,B Gen 1,Barzel,"liehappo, Dennis; oli, pilo, sami, jona,mali, kipo",871,Creation 1
175,Fairy tale,Death and the Gardener,"Ahmed, Samuel","Kipo, mali, morelli",468,
176,vignette,king oleg,"Pushkin, elepnato","ote, josan, jan-ante, kipo, pilo, mali",275,
177,fairy tale,moon water flower,Moreiro,"Morelli, Kipo, Tikhanov",221,
178,vignette,Oliver meets Bill,kipo,"Mali, Tikhonov, Morelli",257,
179,intro,archetype,-,-,317,
180,translation,epic Gilgamesh and Enkidu,ote,"ante, mali, kipo",1827,
181,translation,B Gen 11:1-9,"Proudhomme, Yves; Stephen Pope","kipo, mali, pilo",258,Tower of Babel
182,fairy tale,goldilocks,kipo,"Carlson, Bryce Leland; Koitwica, Mali, Morelli, Nousen, andy; Richardson, Matthew, Stutz, Chris; Swift,Paul Earl; Tikhanov, alexei",912,
183,vignette,Superman,kipo,- ,103,
184,vignette,Oliver & Maria,kipo,-,849,no english
185,vignette,at the bank,kipo,-,419,"extra stuff, no English"
186,vignette,barter,kipo,-,411,no English
187,vignette,at a bar,kipo,-,232,no English
188,vignette,on a date,kipo,-,658,n English
189,vignette,at the restaurant,kipo,-,454,"not finished, no english"
190,translation,B Ps 51:1-12,pilo,-,243,
191,meme,head on toki ike,jbs,"sewe, sala",33,
192,chat,French election 2017,wiki,"campbell, sewe",130,
193,chat,eating,"Scrheiber, Brett","Cools,Brian, Kotwia, Wojciech; Kotwica, Misha; jbs",46,
194,question,wor din two days,"Abdo, Abraham","jbs, wiki",56,
195,fun,D&d scenario,Mimsa Anthony,"Rais, Irfan",255,sp
196,discussion,differences,sotan,jbs,44,
197,discussion,Islam,"Miles, Marcus",-,36,
198,poetry,drinking song,mali,-,63,
199,tradition,Mothera' Day,jsb,sala,27,
200,maxim,only people,Hansberry,"sewe, wiki",186,
